price,location,distance,amenities,ratings,type
1433,"Gomti Nagar, Lucknow",,Free WiFi Family rooms Free parking Room service Non-smoking rooms 24-hour front desk Breakfast ,7.7,Deluxe Room
4100,"Gomti Nagar, Lucknow",,Free WiFi Family rooms Restaurant Free parking Room service Airport shuttle Fitness centre Tea/coffee maker in all rooms Bar Good breakfast,7.4,"2 Twin/Single Beds, City View, Guest Room"
702,Lucknow,,Room service 24-hour front desk ,7.180555555555555,Classic Triple Room
734,Lucknow,,Free WiFi Room service 24-hour front desk ,7.180555555555555,Classic Triple Room
2500,"Gomti Nagar, Lucknow",,Swimming Pool Free WiFi Free parking ,9.0,One-Bedroom Apartment
779,Lucknow,,,1.0,Standard Double Room
2429,Lucknow,,Free WiFi Family rooms Free parking Room service Airport shuttle Non-smoking rooms 24-hour front desk Tea/coffee maker in all rooms Very good breakfast,7.7,Queen Room
1004,Lucknow,,Room service 24-hour front desk ,8.0,Classic Triple Room
655,Lucknow,,Free WiFi Family rooms Free parking Room service Airport shuttle Non-smoking rooms 24-hour front desk Breakfast ,6.0,Standard Double Room
365,Lucknow,,Room service 24-hour front desk ,7.180555555555555,Classic Triple Room
1597,"Gomti Nagar, Lucknow",,,7.180555555555555,Classic Triple Room
4500,"Gomti Nagar, Lucknow",,Outdoor swimming pool Free WiFi Family rooms Restaurant Free parking Room service Airport shuttle Tea/coffee maker in all rooms Bar Very good breakfast,7.6,Standard Twin Room
358,"Gomti Nagar, Lucknow",,Room service 24-hour front desk ,7.180555555555555,Classic Triple Room
4799,"Gomti Nagar, Lucknow",,Outdoor swimming pool Free WiFi Family rooms Restaurant Free parking Room service Spa and wellness centre Fitness centre Bar Breakfast ,7.8,Superior King Room with Sofa Bed
4306,Lucknow,,Family rooms Restaurant Free parking Room service Airport shuttle Non-smoking rooms 24-hour front desk Tea/coffee maker in all rooms Bar Breakfast ,9.3,Twin Room
1950,Lucknow,,Family rooms Room service Non-smoking rooms 24-hour front desk Breakfast ,7.5,Deluxe Room
850,"Gomti Nagar, Lucknow",,Free WiFi Family rooms Restaurant Free parking Room service Spa and wellness centre Airport shuttle (free) Non-smoking rooms Bar Breakfast ,7.4,Deluxe Family Room
2799,"Gomti Nagar, Lucknow",,Outdoor swimming pool Free WiFi Family rooms Free parking Room service Fitness centre Facilities for disabled guests 24-hour front desk Breakfast ,5.2,King Suite with Pool View
709,Lucknow,,Family rooms Free parking Room service Airport shuttle Non-smoking rooms 24-hour front desk Breakfast ,9.5,Deluxe Double Room
2722,Lucknow,,Free WiFi Family rooms Restaurant Room service Non-smoking rooms 24-hour front desk Breakfast ,7.0,Standard Double or Twin Room
1100,Lucknow,,Free WiFi Family rooms Free parking Room service Non-smoking rooms 24-hour front desk ,7.180555555555555,Deluxe Room
2600,Lucknow,,Swimming Pool Free WiFi Free parking ,7.180555555555555,One-Bedroom Apartment
1009,Lucknow,,Free WiFi Room service 24-hour front desk ,7.180555555555555,Classic Triple Room
1183,Lucknow,,Family rooms Free parking Room service Airport shuttle (free) Non-smoking rooms 24-hour front desk Breakfast ,1.3,Deluxe Room
1114,Lucknow,,Free WiFi Room service 24-hour front desk ,7.180555555555555,Classic Triple Room
1433,"Gomti Nagar, Lucknow",,Free WiFi Family rooms Free parking Room service Non-smoking rooms 24-hour front desk Breakfast ,7.7,Deluxe Room
4100,"Gomti Nagar, Lucknow",,Free WiFi Family rooms Restaurant Free parking Room service Airport shuttle Fitness centre Tea/coffee maker in all rooms Bar Good breakfast,7.4,"2 Twin/Single Beds, City View, Guest Room"
4500,"Gomti Nagar, Lucknow",,Outdoor swimming pool Free WiFi Family rooms Restaurant Free parking Room service Airport shuttle Tea/coffee maker in all rooms Bar Very good breakfast,7.6,Standard Twin Room
4799,"Gomti Nagar, Lucknow",,Outdoor swimming pool Free WiFi Family rooms Restaurant Free parking Room service Spa and wellness centre Fitness centre Bar Breakfast ,7.8,Superior King Room with Sofa Bed
850,"Gomti Nagar, Lucknow",,Free WiFi Family rooms Restaurant Free parking Room service Spa and wellness centre Airport shuttle (free) Non-smoking rooms Bar Breakfast ,7.4,Deluxe Family Room
6199,Lucknow,,Outdoor swimming pool Family rooms Restaurant Free parking Room service Airport shuttle Fitness centre Tea/coffee maker in all rooms Bar Breakfast ,8.7,Standard King Room
702,Lucknow,,Room service 24-hour front desk ,7.180555555555555,Classic Triple Room
1230,"Gomti Nagar, Lucknow",,Room service 24-hour front desk ,8.0,Deluxe Room
1435,Lucknow,,Free WiFi Room service 24-hour front desk ,7.5,Deluxe Room
