price,location,distance,amenities,ratings,type
2200,"Koramangala, Bangalore",,Room service Free WiFi 24-hour front desk Breakfast ,7.6,Deluxe Room
11000,Bangalore,,2 swimming pools Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Fabulous breakfast,8.3,Luxury Room Garden View
1520,"Gandhi nagar, Bangalore",,Airport shuttle Room service Free WiFi Free parking Non-smoking rooms Facilities for disabled guests Family rooms 24-hour front desk ,7.0,Standard Double Room
2344,"Bangalore Shopping Area, Bangalore",,Room service Free WiFi Non-smoking rooms Family rooms 24-hour front desk Laundry Breakfast ,6.2,Standard Double Room
5999,"Gandhi nagar, Bangalore",,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Good breakfast,7.3,Superior Queen Room - Non-Smoking
1625,Bangalore,,Airport shuttle Room service Restaurant Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Tea/coffee maker in all rooms Very good breakfast,8.4,Deluxe Double or Twin Room
3646,"Indiranagar, Bangalore",,Airport shuttle Room service Restaurant Free WiFi Free parking Non-smoking rooms 24-hour front desk Laundry Tea/coffee maker in all rooms Very good breakfast,8.4,Executive Room
9500,"MG Road, Bangalore",,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Fabulous breakfast,8.7,Deluxe Room City View  King Bed
7000,"Yeshwantpur, Bangalore",,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Bar Very good breakfast,8.7,Superior Double Room with City View
4536,"Koramangala, Bangalore",,Outdoor swimming pool Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Breakfast ,6.2,Twin Room with Balcony
4499,"Nagavara, Bangalore",,Fitness centre Room service Restaurant Free parking Non-smoking rooms Facilities for disabled guests Family rooms 24-hour front desk Bar Very good breakfast,7.6,Standard Room with One Double Bed
7700,"MG Road, Bangalore",,2 swimming pools Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Very good breakfast,8.2,Deluxe Double Room
4635,"Brookefield, Bangalore",,Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Facilities for disabled guests Bar Good breakfast,7.2,Superior Room - 2 Single Beds
3440,"HSR Layout, Bangalore",,Room service Restaurant Free WiFi Non-smoking rooms Facilities for disabled guests Family rooms 24-hour front desk Laundry Tea/coffee maker in all rooms Breakfast ,7.876315789473685,Standard Twin Room
